sample_id,scenario,true_K,method,display_name,set_rmse,set_mae,k_hat,k_acc,k_abs_err,outlier_5deg
U1_clean_K1#0000,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0480942465558751,0.0480942465558751,1,1.0,0,0.0
U1_clean_K1#0001,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1498092015672742,0.1498092015672742,1,1.0,0,0.0
U1_clean_K1#0002,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1750597781059366,0.1750597781059366,1,1.0,0,0.0
U1_clean_K1#0003,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0225473742216646,0.0225473742216646,1,1.0,0,0.0
U1_clean_K1#0004,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.003341357153836,0.003341357153836,1,1.0,0,0.0
U1_clean_K1#0005,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0410984653075132,0.0410984653075132,1,1.0,0,0.0
U1_clean_K1#0006,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0712955950212048,0.0712955950212048,1,1.0,0,0.0
U1_clean_K1#0007,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.1094705016913053,0.1094705016913053,1,1.0,0,0.0
U1_clean_K1#0008,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0809992296046129,0.0809992296046129,1,1.0,0,0.0
U1_clean_K1#0009,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.128108078875023,0.128108078875023,1,1.0,0,0.0
U1_clean_K1#0010,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.0938611581739881,0.0938611581739881,1,1.0,0,0.0
U1_clean_K1#0011,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.2608773336720134,0.2608773336720134,1,1.0,0,0.0
U1_clean_K1#0012,U1_clean_K1,1,FROST-DOA,FROST-DOA,0.3324815869609416,0.3324815869609416,1,1.0,0,0.0
