method,mean_rmse_deg,median_rmse_deg,mean_mae_deg,source_number_accuracy_pct,mean_source_number_abs_error,outlier_rate_gt_5deg_pct,mean_runtime_ms,n
FROST-DOA,7.817963185611981,1.108348930198083,6.337075250560036,75.75,0.28833333333333333,37.083333333333336,42.3878662391697,1200
SubspaceNet + residual selector,10.05829668347867,4.115811187422701,8.563872105263835,64.75,0.3958333333333333,46.25,0.0,1200
SOMP + MDL,12.553715632839303,16.711314164733025,10.608293487012418,48.583333333333336,0.7316666666666667,61.583333333333336,0.1909078791656308,1200
Root-MUSIC + MDL,12.660848983382596,17.677848726468625,10.684925186041808,48.583333333333336,0.7316666666666667,57.75,0.15535871085451916,1200
Toeplitz-MUSIC + MDL,12.827471193143971,17.67920520320863,10.810519734607619,48.583333333333336,0.7316666666666667,56.99999999999999,0.14723993167081056,1200
ESPRIT + MDL,13.055047912540921,17.67922702631011,11.449310663827253,48.583333333333336,0.7316666666666667,57.99999999999999,0.07879066917287972,1200
FBSS-MUSIC + MDL,14.008507494182167,17.693445831821762,11.84584035087114,48.583333333333336,0.7316666666666667,61.0,0.11369984250526002,1200
MUSIC + MDL,16.72051382302543,17.859527103173374,13.855686134016242,48.583333333333336,0.7316666666666667,67.58333333333333,0.10511896917554012,1200
DA-MUSIC + MDL,19.598961469816718,19.645220005440308,18.05440152437019,51.83333333333333,0.6575,95.66666666666667,,1200
SBL + MDL,22.81241363646733,20.419562358319858,18.24834897135161,48.583333333333336,0.7316666666666667,85.58333333333333,2.18321099584197,1200
